sinhala_question,sinhala_answer
"ආබාධිත අනත්දරු විශ්‍රාම වැටුප් ගොනුවෙහි අඩු පාඩු පවතින විට සිදු කළ යුත්තේ කුමක්ද?","ආබාධිත විශ්‍රාම වැටුප් සැකසීම සඳහා ලිපි ගොනුවක් ප්‍රධාන කාර්යාලය වෙත  ලැබුණු පසු අදාළ විෂයභාර නිලධාරී විසින් ගොනුව පරීක්ෂා කොට එහි අඩු පාඩු ලේඛන පවතියි නම් ඒවා හඳුනාගෙන එම ලේඛන කැඳවීම සඳහා ඉල්ලුම්කරුට පිටපතක් සහිතව ප්‍රාදේශීය ලේකම් කාර්යාලය වෙත ලිපියක් යොමු කරනු ලබයි. ලිපි ලද විගස ප්‍රාදේශීය ලේකම් කාර්යාලයේ විෂයභාර නිලධාරි හා ආබාධිත පාර්ශවය විසින් එකී අඩු පාඩු ලේඛන කඩිනමින් ප්‍රධාන කාර්යාලය වෙත එවීමට කටයුතු කළ යුතුය."
"ආබාධිත පුද්ගලයන් වෛද්‍ය මණ්ඩලයක් වෙත ඉදිරිපත් කළ යුත්තේ කෙසේද?","ආබාධිත අය සම්බන්ධව ප්‍රාදේශීය ලේකම් කාර්යාලය විසින් පවත්වනු ලබන මූලික පරීක්ෂණ වාර්තාවෙහි ආබාධිත විශ්‍රාම වැටුපක් ගෙවිම සුදුසු බවට ප්‍රාදේශීය ලේකම් ගේ නිර්දේශය සහිතව ගොනුව ඉදිරිපත් කළ යුතුය. එම ප්‍රාදේශීය ලේකම්ගේ නිර්දේශය පදනම්ව ආබාධිත පාර්ශවය වෙතින් මෑතකදී ලබා ගත් සෞඛ්‍ය 307 වෛද්‍ය සහතිකයෙහි පිටපතක් සමඟ වෛද්‍ය මණ්ඩල අයදුම්පතක් සෞඛ්‍ය සේවා දෙපාර්තමේන්තුව වෙත යොමු කෙරේ."
"ආබාධිත විශ්‍රාම වැටුප හිමිගන්වනු ලබන්නේ කවදා සිටද?","ආබාධිත අය වෛද්‍ය මණ්ඩලයක් වෙත යොමු කිරීමෙන් පසු අදාළ වෛද්‍ය මණ්ඩලය විසින් ආබාධය ඇතිවූ වයස, ආබාධයේ ස්වභාවය සමඟ ඉල්ලුම්කරු වෙත ආබාධිත විශ්‍රාම වැටුප ගෙවීම පිළිබඳ නිර්දේශය ලබා දේ. එම නිර්දේශය ලබා දුන් දින සිට ආබාධිත විශ්‍රාම වැටුප හිමිගන්වනු ලැබේ."
"ආබාධිත අනත්දරු විශ්‍රාම වැටුප් අයදුම්පතක් ප්‍රතික්ෂේප වන්නේ ඇයි?","විශ්‍රාම වැටුප් ඉල්ලුම්කරු ආබාධිත තත්ත්වයන් නොවන රෝගී තත්ත්වයන්ගෙන් පෙළෙන බවට අයදුම්පත්‍රයෙහි සඳහන් කර ඇති විට (උදා - අධිරුධිර පීඩනය,දියවැඩියාව, කොලෙස්ටරෝල් වැනි රෝගයන්ගෙන් පෙළීම.);ආබාධය අනත්දරු වයස (අවු 26 ) ඉක්මවීමෙන් පසු ඇති වූ බවට වෛද්‍ය මණ්ඩලය විසින් තීරණය කිරීම.;ආබාධය නිත්‍ය ආබාධ තත්ත්වයක් නොවන බව වෛද්‍ය මණ්ඩලය විසින් තීරණය කිරීම.;ආබාධිත විශ්‍රාම වැටුප් ඉල්ලුම්කරු දායකයාගේ නීත්‍යනුකූල විවාහයක දරුවෙකු නොවන විට.;ඉල්ලුම්කරු දායකයාගේ දරුවෙකු බවට තහවුරු නොවන විට.;08.01 දිනට පෙර පත්වීම් ලබා ගත් වැන්දඹු හා අනත්දරු විශ්‍රාම වැටුප් ක්‍රමයට දායක නොවූ නිලධාරිනියන්ගේ දරුවන් වෙත ආබාධිත අනත්දරු විශ්‍රාම වැටුප හිමිගැන්විය නොහැක."
"ඇතැම් ආබාධිත දරුවන් හට භාරකරුවෙකු පත් කළ යුත්තේ ඇයි?","තම ජීවනෝපාය තනිවම සලසා ගත නොහැකි, මුදල් ගනුදෙනු කිරීමේ හැකියාවක් නොමැති ආබාධිත දරුවන් සඳහා ඔවුන්ගේ නිසි පෝෂණය හා රැකවරණය වෙනුවෙන් භාරකරුවෙකු යටතේ ආබාධිත විශ්‍රාම වැටුප හිමි ගැන්වීම සඳහා ප්‍රාදේශීය ලේකම්ගේ නිර්දේශය අනුව සුදුසු භාරකරුවෙකු පත් කළ යුතු වේ."
"භාරකරුවෙකු පත් කිරීමේදි අවශ්‍ය වන ලේඛන මොනවාද?","ආබාධිත අයගේ භාරකාරිත්වය සඳහා ඉදිරිපත් වන පුද්ගලයා හෝ ආයතනය පිළිබඳ ප්‍රාදේශීය ලේකම්ගේ නිර්දේශය. සම්පූර්ණ කරන ලද භාරකාර දිවුරුම් ප්‍රකාශය/භාරකරුගේ ජාතික හැඳුනුම්පතෙහි සහතික කරන ලද පිටපත ;භාරකරුගේ බැංකු පාස්පොතෙහි සහතික කරන ලද පිටපත;භාරකරුගේ සහතික කරන ලද පාස්පෝට් ප්‍රමාණයේ ඡායාරූපය;වි.වැ චක්‍රලේඛ අංක 7/2020 අනුව භාරකාර ගිවිසුම;භාරකරුගේ දිව්රුම් ප්‍රකාශය"
"ආබාධිත විශ්‍රාම වැටුප් ගෙවනු ලබන්නේ කවුරුන් උදෙසාද?","උපතින්ම හෝ වයස අවුරුදු 26ට පෙර ඇතිවූ මානසික හෝ ශාරීරික අශක්නුතාවයට පත්වූ දරුවන් සිටින  රාජ්‍ය සේවයේ නියුතුව සිටි නිලධාරීන්ගේ දරුවන් සඳහා ආබාධිත අනත්දරු විශ්‍රාම වැටුප හිමිගන්වනු ලබයි."
"ආබාධිත විශ්‍රාම වැටුප් ගෙවීම සම්බන්ධ නෛතික විධිවිධාන මොනවාද?","වැන්දඹු අනත්දරු විශ්‍රාම වැටුප් ආඥා පනතෙහි 29 වැනි වගන්තිය,වැන්දඹු පුරුෂ හා අනත්දරු විශ්‍රාම වැටුප් පනතෙහි 7 වැනි වගන්තිය, 01.07 දිනැති වි.වැ.ච.අංක 01/2009 , 08.15 දිනැති අංක 1719/3 අති විශෙෂ ගැසට් පත්‍රය, 12.02 දිනැති වි.වැ.ච.අංක 01/2009 සංශෝධන (I)"
"ආබාධිත විශ්‍රාම වැටුපක් හිමිගැන්වීම සඳහා සම්පූර්ණ කළ යුතු මූලික කරුණු මොනවාද?","දායකයා/දායිකාව විශ්‍රාම වැටුප් හිමි තනතුරක් දැරීම., අදාල තනතුරේ සේවය ස්ථිර කර තිබීම., දායකයා / දායිකාව වැන්දඹු හා අනත්දරු අරමුදලට දායක වී සිටීම. ,දායකයා/ දායිකාව  මිය ගොස් තිබීම සහ  කලත්‍රයා මියගොස් තිබීම හෝ වෙනත් විවාහයක් සිදුකරගෙන සිටීම., අනත්දරුවාගේ ශාරිරීක හෝ මානසික අශක්නුතාවය උපතේදි හෝ අනත්දරු වයස (අවු.26) ඉක්මවීමට පෙර ඇතිවී තිබිය යුතු වීම., තම ජීවනෝපාය සලසා ගත නොහැකි පරිදි නිත්‍ය ආබාධිත තත්ත්වයට පත් වී සිටීම."
"ආබාධිත විශ්‍රාම වැටුප  ගණනය කරන්නේ කෙසේද?","දායකයා/ දායිකාව හෝ වැන්දඹුව/ වැන්දඹු පුරුෂයා මිය යාමට පෙර ලබා ගත් මාසික විශ්‍රාම වැටුප (මූලික වැටුප+ ජීවන වියදම් දීමනාව) ආබාධිත විශ්‍රාම වැටුපක් ලෙස ආබාධිත දරුවන් සඳහා හිමිගන්වනු ලැබේ., ආබාධිත දරුවන් කිහිප දෙනෙකු සිටින විට දායකයාගේ /දායිකාවගේ මාසික විශ්‍රාම වැටුප සමානුපාතිකව එම දරුවන් අතරේ බෙදා හිමිගන්වනු ලැබේ., මව සහ පියා යන දෙදනාම වැන්දඹු/ වැන්දඹු පුරුෂ හා අනත්දරු විශ්‍රාම වැටුප් ක්‍රමයේ සාමාජිකත්වය ලබා ඇති විටදී, ඔවුන් දෙදෙනාගෙන් වැඩි වැටුප 60% ලෙසද අඩු වැටුප 40%ක් ලෙසද හිමි ගන්වනු ලැබේ.( අංක 1719/3 සහ 2011.08.15 දිනැති ගැසට් නිවේදනය අනුව), එසේම ආදායම් ලබන /විවාහක /පවුලේ අදායම යන කරුණු මත විශ්‍රාම වැටුපෙන් ප්‍රතිශතයක් ගෙවීම පිළිබඳව තීරණය කිරීමට අංක 1719/3 සහ 2011.08.15 දිනැති ගැසට් නිවේදනය අනුව විශ්‍රාම වැටුප් අධ්‍යක්ෂ ජනරාල්ට බලය ඇත."
"ආබාධිත විශ්‍රාම වැටුප ගෙවීම ආරම්භ වන්නේ කවදා සිටද?","ඉල්ලුම්කරු නිසි පරිදි වෛද්‍ය මණ්ඩලයක් වෙත යොමු කිරීමෙන් අනතුරුව වෛද්‍ය මණ්ඩලය විසින් ආබාධිත විශ්‍රාම වැටුප ගෙවීමට සුදුසු  බවට අනුමැතිය ලබා දුන් දින සිට ගෙවීම කටයුතු ආරම්භ වේ."
"ආබාධිත විශ්‍රාම වැටුප් අයඳුම්පත සමඟ ඉදිරිපත් කළ යුතු අනිකුත් පොදු ලේඛන මොනවාද?","ආබාධිත විශ්‍රාම වැටුප් ඉල්ලුම්කරුගේ උප්පැන්න සහතිකයේ මුල් පිටපත, සහතික කරන ලද ඉල්ලුම්කරුගේ පෝස්ට්කාඩ් ප්‍රමාණයේ ජායාරූපය, භාරකරුගේ පාස්පෝට් ප්‍රමාණයේ සහතික කරන ලද ජායාරූපයක්, ඉල්ලුම්කරුගේ සහ භාරකරුගේ ජාතික හැඳුනුම්පතේ සහතික කරන ලද පිටපත්, ඉල්ලුම්කරුගේ/භාරකරුගේ බැංකු ගිණුම් පාස්පොතෙහි සහතික කරන ලද පිටපත, ඉල්ලුම්කරුගේ දෙමව්පියන්ගේ විවාහ සහතික පත්‍රයේ මුල් පිටපත්, ඉල්ලුම්කරුගේ පියාගේ සහ මවගේ මරණ සහතිකවල මුල් පිටපත්, සෞඛ්‍ය 307 වෛද්‍ය සහතිකය( වර්තමාන ආබාධිත තත්ත්වය පිළිබඳව වෛද්‍ය නිලධාරි නිර්දේශය) , සම්පූර්ණ කරන ලද ආබාධිත අනත්දරු විශ්‍රාම වැටුප් අයදුම්පත්‍රය, සම්පූර්ණ කරන ලද භාරකරුගේ දිව්රුම් ප්‍රකාශය , වි.වැ.ච 7/2020 අනුව භාරකාර ගිවිසුම,මූලික පරීක්ෂණ වාර්තාවේ ප්‍රදේශීය ලේකම්ගේ නිර්දේශය, සුදුසු භාරකරුවෙකු පිළිබඳව ප්‍රාදේශීය ලේකම්ගේ නිර්දේශය, සම්පූර්ණ කරන ලද PD 4 අයදුම්පත්‍රය, ආදර්ශ අත්සන් පත්‍රිකාව, ඉල්ලුම්කරුගේ/භාරකරුගේ දුරකතන අංකය, අනත්දරු වයස් සීමාවට අදාළ වෛද්‍ය වාර්තා "
"ආබාධිත පුද්ගලයෙකු වෛද්‍ය මණ්ඩලයක් වෙත යොමු කිරීමේ ක්‍රියාවලිය සිදුවන්නේ කෙසේද ?","වි.වැ.චක්‍රලේඛ අංක 1/2009 අනුව ආබාධිත අය සම්බන්ධව මූලික පරීක්ෂණ කටයුතු සිදුකොට ඒ සඳහා ප්‍රාදේශීය ලේකම්ගේ නිර්දේශ සහිතව ගොනුව ප්‍රධාන කාර්යාලය වෙත යොමු කරනු ලබයි.අදාළ ගොනුව පරීක්ෂා කිරීමෙන් අනතුරුව සෞඛ්‍ය 307 වෛද්‍ය සහතිකය පදනම්ව වෛද්‍ය මණ්ඩල අයදුම්පතක් සෞඛ්‍ය සේවා දෙපාර්තමේන්තුව වෙත යොමු කෙරේ.අනතුරුව සෞඛ්‍ය සේවා දෙපාර්තමේන්තුව විසින් ආබාධිත අය විධිමත් වෛද්‍ය මණ්ඩලයක් වෙත යොමු කරනු ලබන අතර එම වෛද්‍ය මණ්ඩලය විසින් ආබාධිත අය සදහා ආ.වි.වැ ගෙවීම සුදුසු/නුසුදුසු යන්න පිළබඳ නිර්දේශ ලබා දේ.එසේම වි.වැ.ච අංක 1/2009 සංශෝධන 1 අනුව මේ වන විට විශ්‍රාම වැටුප් ලබමින් සිටින විශ්‍රාමිකයන්ගේ සහ සේවයේ නියුතු රජයේ නිලධාරීන්ගේ, ආබාධිත තත්ත්වයේ සිටින දරුවන් සිටීනම් ඔවුන් වෛද්‍ය මණ්ඩලයක් වෙත යොමු කිරීමේ හැකියාව ප්‍රාදේශීය ලේකම් කාර්යාල වලට සහ නිලධාරීන් සේවය කරන ආයතන ප්‍රධානීන්ට හැකියාව ඇත."
"සුදුසු භාරකරුවෙකු පත් කිරීම සිදුවන්නේ කෙසේද?","ආබාධිත දරුවා වෙනුවෙන් නිසි පෝෂණය හා රැකවරණය සැලසිය හැකි, ආබාධිත අය ජීවත්වන ප්‍රාදේශීය ලේකම් කොට්ඨාසය තුළම පදිංචිව සිටින අයෙකුට මේ සඳහා ඉදිරිපත් විය හැක. මෙහිදී එම භාරකාරිත්වය සඳහා එම තැනැත්තා/තැනැත්තිය සුදුසු බවට ප්‍රාදේශීය ලේකම්ගේ නිර්දේශය අනිවාර්ය වේ. එසේ ම ආබාධිත දරුවන් වෙත රැකවරණය දෙන ආයතන/ නිවාස/ වැඩිහිටි නිවාස/ කන්‍යාරාම ආදිය සැලකිල්ලට ගෙන කළමනාකරුවන්, භාරකරුවන් පත් කිරීමට විධිවිධාන යෙදීම ද සිදු කෙරෙන අතර, මෙහි දී ආබාධිත අනත්දරුවා සහ භාරකරු සිටින ප්‍රාදේශීය ලේකම් කොට්ඨාස වෙනස් වුවත් එය ප්‍රතිලාභ හිමිගැන්වීම සඳහා බාධාවක් නොවන පරිදි කටයුතු කිරීම සිදු කෙරේ."
"දායකයාට/ දායිකාවට හෝ කලත්‍රයාට විවාහයන් කීපයක් තිබී ඇති අවස්ථාවන්වලදී සිදු කළ යුත්තේ කුමක්ද ?","එම එක් එක් විවාහයන්ට අදාළ විවාහ සහතිකවල සහතික කළ පිටපත්, දික්කසාද නියත තීන්දු ප්‍රකාශයන් හෝ (උසාවි රෙජිස්ට්‍රාර් විසින් සහතික කළ) කලත්‍රයාගේ මරණ සහතික ඉදිරිපත් කළ යුතුය. පෙර විවාහවල දරුවන් පිලිබඳ තොරතුරු (දරුවන් ගණන, වයස,රැකියාවක් කරන්නේද/ නැද්ද යන වග දිනයන් සහිතව, විවාහකද/ නැද්ද යන වග දිනයන් සහිතව,  ඔවුන්ගේ උප්පැන්න සහතික හා බැංකු ගිණුම් පිටපත් )"
"ආබාධිත විශ්‍රාම වැටුප හිමිගැන්වීමේදී වි.වැ.දායකයාගේ/ දායිකාවගේ, කලත්‍රයාගේ සහ ආබාධිත අනත්දරුවාගේ නමෙහි වෙනස්කම් පවතින විට සිදු කළ යුතතේ කුමක්ද?","නම්වල වෙනස්කම් පවතින අවස්ථාවන්හීදී, නමෙහි අකුරක වෙනස්කමක් වැනි සුලු වෙනස්කමක් සඳහා දිවුරුම් ප්‍රකාශයක් ඉදිරිපත් කළ යුතුවේ. නමේ අකුරු කිහිපයක හෝ වචනයක පමණ වෙනස්කමක් පවතීනම්, එම වෙනස්කම තහවුරු කර ගැනීමට ග්‍රාම නිලධාරි වාර්තා, මැතිවරණ උධෘත, ප්‍රභූ වාර්තා ආදිය යොදා ගනිමින් පරීක්ෂණයක් පවත්වා නම තහවුරු කරගෙන ප්‍රාදේශීය ලේකම් වාර්තාවක් මඟින් ඉදිරිපත් කළ යුතු ය. නමෙහි වචන කිහිපයක වෙනස්කමක් පවතින අවස්ථාවන්වලදී හෝ ඉහත සඳහන් කළ ආකාරයට නමෙහි වෙනස්කම තහවුරු කළ නොහැකි අවස්ථාවන්වලදී තම නමෙහි වෙනස්කම නීත්‍යනුකූල ලේඛන (නම සංශෝධනය කර අදාළ සංශෝධිත ලේඛන) මගින් තහවුරු කරන ලෙස ඉල්ලුම්කරුට දැනුම් දී එකී සංශෝධිත ලේඛන ඉදිරිපත් කළ යුතු ය."
"රාජ්‍ය සේවකයෙකු විශ්‍රාම ලබා ගැනීමෙන් පසු ඔවුන් වෙනුවෙන් විශ්‍රාම පාරිතෝෂිකය ලබා දෙනවනම්, රජයේ සේවයේ යෙදී සිටියදී මිය යන නිලධාරීන්/ නිලධාරිණියන් වෙනුවෙන් පාරිතෝෂිකය ලබා ගත නොහැකිද?","රජයේ සේවයේ යෙදී සිටියදී මිය යන නිලධාරීන්/ නිලධාරිණියන් වෙනුවෙන් මරණ පාරිතෝෂිකය ලබා ගැනීමේ හැකියාව පවතී."
"මරණ පාරිතෝෂිකය යනු කුමක්ද?","රජයේ සේවයේ යෙදී සිටින  නිලධාරීන්/ නිලධාරිණියන් සේවා කාලය තුළ මිය යාම හේතුවෙන් අගතියට පත්වන ඔවුන්ගේ යැපෙන්නන් වෙනුවෙන් ගෙවනු ලබන දීමනාව මරණ පාරිතෝෂිකය නම් වේ."
"මරණ පාරිතෝෂිකය හිමිගන්වනු ලබන්නේ කුමන විධිවිධානයක් යටතේ ද?","විශ්‍රාම වැටුප් ව්‍යවස්ථා සංග්‍රහයේ 2.(ආ).1 වගන්තිය යටතේ මේ සඳහා විධිවිධාන පනවා ඇත."
"මිය ගිය අයෙකු වෙනුවෙන් මරණ පාරිතෝෂිකය ලබා ගැනීම සඳහා යැපෙන්නන් විසින් සිදු කල යුත්තේ කුමක්ද?","රජයේ සේවයේ යෙදී සිටින අතරතුර යම් අයෙකු මිය යාමෙන් පසු මරණ පාරිතෝෂිකය ලබා ගැනීම සඳහා මිය ගිය තැතැත්තා අවසන් වරට සේවය කළ ආයතනය හරහා විශ්‍රාම වැටුප් දෙපාර්තමේන්තුව වෙත අයදුම්පත් ඉදිරිපත් කළ යුතු බැවින් වහාම එම ආයතනයේ අදාල විෂය නිලධාරීන් හමු වී කරුණු සාකච්ඡා කර අවශ්‍ය ලේඛන භාරදිය යුතුය."
"මරණ පාරිතෝෂිකය ගෙවීමේ ක්‍රියාවලියේදී ආයතනය ලෙස හඳුන්වන්නේ කුමක්ද?"," මරණ පාරිතෝෂිකය ගෙවීමේ ක්‍රියාවලියේදී ආයතනය ලෙස හඳුන්වන්නේ මිය ගිය නිලධාරියා/නිලධාරිණිය අවසන් වරට සේවය කළ රජයේ ආයතනයයි. (කාර්යාලයයි)"
"මරණ පාරිතෝෂික අයදුම්පත් සම්බන්ධයෙන් තොරතුරු සම්පූර්ණ කිරීමේදී දායකයා ලෙස හඳුන්වන්නේ කවුරුන්ද?","රජයේ සේවයේ ස්ථිර හා විශ්‍රාම වැටුප් හිමි තනතුරක සේවය කිරීම සඳහා පත්වීමක් ලබා ගත් වැන්දඹු හා අනත්දරු අරමුදලේ සාමාජිකත්වය ලබා ගැනීම සඳහා හිමිකම් පවතින නිලධාරීන්/නිලධාරිණියන් දායකයා ලෙස හඳුන්වනු ලබයි."
